"题号","题干","A","B","C","D","E","答案","难度","题型"
"457","新民主主义革命理论形成的客观条件是（　）。","""冷战""和两大阵营激烈对抗的国际环境","近代中国革命形势的发展","世界形势的新_x000D_
变化","旧民主主义革命的失败","","BCD","无","多选题"
"458","关于新民主主义政治纲领规定的新民主主义国家，以下说法正确的有（  ）。","国体是各革命阶级联合专政","政体是民主集中制的人民代表大会制度","各革命阶级的联合专政就是工农民主专政","人民当家作主是新民主主义国家制度的核心内容和基本准则","","ABD","无","多选题"
"459","中国革命走农村包围城市、武装夺取政权的道路，根本在于处理好（　）之间的关系。","民族资产阶级","武装斗争","土地革命","农村革命根据地建设","","BCD","无","多选题"
"460","新民主主义革命时期，以国共合作为基础所建立的统一战线有（  ）。","国民革命联合战线","工农民主统一战线","抗日民族统一战线","人民民主统一战线","","AC","无","多选题"
"461","统一战线问题，是无产阶级政党策略思想的重要内容。建立最广泛的统一战线的必要性和可能性是（　）。","半殖民地半封建的中国社会诸多矛盾交织在一起","近代中国社会的最主要矛盾决定了无产阶级及其政党能把一切爱国的人们团结在自己周围","中国半殖民地半封建社会的阶级状况所决定的","中国革命的长期性、残酷性及其发展的不平衡性所决定的","","ABCD","无","多选题"
"462","新民主主义革命的动力包括（　）。","城市小资产阶级","民族资产阶级","农民阶级","无产阶级","","ABCD","无","多选题"
"463","以下属于""十大关系""的后五条内容的是（   ）。","汉族和少数民族的关系","党和非党的关系","革命和反革命的关系","中央和地方的关系","","ABC","无","多选题"
"464","在进行社会主义改造、向社会主义过渡的进程中，中国共产党积累了丰富的历史经验。这些经验可以总结为（   ）。","坚持公有制经济和非公有制经济共同发展","采取积极引导、逐步过渡的方式","坚持社会主义工业化建设与社会主义改造同时并举","用和平方法进行改造","","BCD","无","多选题"
"465","马克思、恩格斯关于从资本主义社会向社会主义社会过渡的问题的相关论述是（   ）。","用暴力没收与和平赎买这两种方式来变革所有制","如果能用赎买的办法变革所有制，将是""最便宜不过了""","要有一个逐步消灭私有制、确立公有制并大力发展生产力的过渡时期","过渡时期是不可逾越的发展阶段","","ABCD","无","多选题"
"466","过渡时期总路线的""两翼""是实现（ 　　）。","对农业、手工业的社会主义改造","实现社会主义工业化","对资本主义工商业的社会主义改造","对工业的社会主义改造","","AC","无","多选题"
"467","以下属于社会主义建设道路初步探索的重要理论成果的是 (    )。","调动一切积极因素为社会主义事业服务","""一个中心，两个基本点""","走中国工业化道路","国防建设和军队建设","","ACD","无","多选题"
"468","1957年2月，毛泽东在《关于正确处理人民内部矛盾》的讲话中系统论述了社会主义社会基本矛盾的理论，其中的基本观点包括（ 　）。","社会主义社会的基本矛盾可以通过社会主义制度本身不断地得到解决","社会主义社会基本矛盾是在人民利益根本一致基础上的非对抗性矛盾","社会主义社会的基本矛盾具有基本适应、部分不适应的特点，又统一又斗争，推动社会主义不断完善巩固","社会主义社会的基本矛盾仍然是生产关系和生产力，上层建筑和经济基础之间的矛盾","","ABCD","无","多选题"
"469","关于社会主义社会矛盾，毛泽东(    )。","提倡运用对立统一规律深刻分析社会主义社会的矛盾","指出矛盾是普遍存在的，社会主义社会同样充满着矛盾，正是这些矛盾推动着社会主义社会不断地向前发展","指出在社会主义社会中，基本的矛盾仍然是生产关系和生产力之间的矛盾，上层建筑和经济基础之间的矛盾","指出我国的主要矛盾是人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾","","ABC","无","多选题"
"470","在探索社会主义建设道路的初期，以毛泽东为代表的党的第一代领导集体在积极探索适合我国情况的经济体制和运行机制方面提出的思想有(   )。","建立""适合于我国情况和人民需要的社会主义的市场""","要实行民主管理，实行""两参一改三结合""","发展商品生产，利用价值规律","整顿工业企业，改善和加强企业管理，实行职工代表大会制","","ABCD","无","多选题"
"471","毛泽东对适合中国国情的社会主义建设道路的探索，集中在《论十大关系》和《关于正确处理人民内部矛盾的问题》中，他提出的关于社会主义建设的重要理论观点是（　　）。","把党和国家的工作重点转移到政治革命和社会主义建设上来","调动国内外一切积极因素为社会主义事业服务","社会主义社会基本矛盾和两类矛盾的学说","正确处理人民内部矛盾","","BCD","无","多选题"
"472","毛泽东关于社会主义建设中积极因素和消极因素的关系表述正确的是(    )。","两者是一对矛盾","积极因素与消极因素呈现均衡态势","积极因素处于主导地位","两者在一定条件下可以相互转化","","ACD","无","多选题"
"473","党在探索社会主义建设道路过程中，在所有制结构调整和完善方面的理论成果包括(  )。","""三个主体，三个补充""的设想","注意发展手工业和农业多种经营的思想","建立适合我国情况和人民需要的社会主义市场的思想","把资本主义经济作为社会主义经济的补充的思想","","ABD","无","多选题"
"474","我国对资本主义工商业的社会主义改造经历了三个步骤，包括（   ）。","主要实行初级形式的国家资本主义","主要实行个别企业的公私合营","实行全行业的公私合营","实行全行业的无偿没收","","ABC","无","多选题"
"475","对待敌我矛盾的所谓专政方法，就是(    )。","运用人民民主专政的国家机器","对敌对分子和严重犯罪分子依法治罪","让专政对象自愿从事劳动","在劳动中尽量使专政对象改造成为新人","","ABD","无","多选题"
"476","我国社会主义的政治制度体系包括（   ）。","人民代表大会制度","中国共产党领导的多党合作和政治协商制度","民族区域自治制度","参议院选举制度","","ABC","无","多选题"
"477","1956年4月，毛泽东提出""和为贵""""爱国一家""""爱国不分先后""等政策主张。毛泽东、周恩来在不同场合进一步阐明和平解放台湾的具体方针政策，其要点有：（    ）。","省亲会友、来去自由","既往不咎、立功受奖","国共合作、爱国一家","和平解放、互不破坏","","ABCD","无","多选题"
"478","在对社会主义建设道路初步探索中，关于所有制结构的调整的正确思想有（　　）。","毛泽东、刘少奇、周恩来提出把资本主义经济作为社会主义经济的补充的思想","邓小平提出关于整顿工业企业，改善和加强企业管理，实行职工代表大会制等观点","朱德提出要注意发展手工业和农业多种经营的思想","陈云提出了""三个主体，三个补充""的设想","","ACD","无","多选题"
"479","党领导人民探索社会主义建设道路的意义包括（　　）。","巩固和发展了我国的社会主义制度","为开创中国特色社会主义提供了宝贵经验、理论准备、物质基础","完成了社会主义现代化国家建设","丰富了科学社会主义的理论和实践","","ABD","无","多选题"
"480","我们党领导人民进行社会主义建设，有改革开放前和改革开放后两个历史时期。关于这两个时期说法正确的有（   ）。","改革开放前和改革开放后两个历史时期本质上都是我们党领导人民进行社会主义建设的实践探索","不能用改革开放后的历史时期否定改革开放前的历史时期，也不能用改革开放前的历史时期否定改革开放后的历史时期","改革开放前和改革开放后两个历史时期是两个相互联系又有重大区别的时期","中国特色社会主义是在新中国已经建立起社会主义基本制度，并进行了20多年建设的基础上开创的","","ABCD","无","多选题"
"481","毛泽东关于社会主义社会矛盾的学说，其重要意义是（　 ）。","为改革开放新时期如何处理人民内部矛盾提供了具体方针和政策","为正确处理各种矛盾，创造良好的社会和政治环境，提供了基本的理论依据","科学揭示了社会主义社会发展的动力","以独创性的内容丰富了马克思主义的理论宝库","","BCD","无","多选题"
"482","1954年6月15日，毛泽东指出：""我们的总目标，是为建设一个伟大的社会主义国家而奋斗。……我看，我们要建成一个伟大的社会主义国家，大概经过五十年即十个五年计划，就差不多了，就像个样子了，就同现在大不一样了。""这是由于（    ）。","我国进入社会主义的特殊历史条件决定的","我国的现实状况决定的","我国现代化建设所处的国际环境和时代特点决定的","社会发展的自身规律决定的","","ABCD","无","多选题"
"483","1956年召开的中共八大正确分析了社会主义改造完成后我国社会主要矛盾的变化，指出社会主义制度在我国已经基本上建立起来了，我国国内的主要矛盾是（   ）。","人民对建立先进的工业国的要求同落后的农业国的现实之间的矛盾","人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾","工人阶级同民族资产阶级之间的矛盾","发展重工业和发展农业、轻工业之间的矛盾","","AB","无","多选题"
"484","新中国成立初期，我国主要学习苏联经验，但实践表明，（   ）。","仍需要实现马克思主义与中国实际的""第二次结合""","需要积极探索适合中国特点的社会主义建设道路","苏联经验是被实践证明了的关于中国革命和建设的完全正确的理论原则和经验总结","照抄照搬苏联经验不符合中国国情","","ABD","无","多选题"
"485","毛泽东提出一整套""两条腿走路""的工业化发展思路，具体包括（   ）。","重工业和轻工业同时并举","中央工业和地方工业同时并举","沿海工业与内地工业同时并举","大型企业和小型企业同时并举","","ABCD","无","多选题"
"486","社会主义建设道路初步探索时期，在党对台方针政策的推动下，对台工作取得了进展。我们（    ），为最终解决台湾问题创造了不可或缺的条件。","把蒋介石集团控制区域压缩到了台、澎、金、马地区，彻底打破了蒋介石""反攻大陆""的幻想","坚决粉碎了美国""划峡而治""的图谋","尝试了以和平的方式解放台湾","实现了中国与许多国家邦交正常化，确立了国际社会普遍承认一个中国原则的格局","","ABCD","无","多选题"
"487","马克思主义中国化时代化，就是（    ）。","运用马克思主义的立场、观点和方法，观察时代、把握时代、引领时代，解决中国革命、建设、改革中的实际问题","总结和提炼中国革命、建设、改革的实践经验并将其上升为理论，不断丰富和发展马克思主义的理论宝库，赋予马克思主义以新的时代内涵","运用中国人民喜闻乐见的民族语言来阐述马克思主义，使其植根于中华优秀传统文化的土壤之中，具有中国特色、中国风格、中国气派","采取实用主义的态度，在实践中遵循马克思主义科学理论照着做","","ABC","无","多选题"
"488","充分调动一切积极因素，尽可能地克服消极因素，并且努力化消极因素为积极因素，这是社会主义事业前进的需要，这里讲的积极因素与消极因素包括(    )。","党内的和党外的因素","抽象的和具体的因素","国内的和国外的因素","直接的和间接的因素","","ACD","无","多选题"
"489","在对资本主义工商业的社会主义改造中，为把资本主义工商业者改造成为自食其力的社会主义劳动者，国家对他们采取的措施包括（   ）。","以企业为基地，""量才使用，适当照顾""","在工作上发挥作用","在生活上妥善照顾","在政治上适当安排","","ABCD","无","多选题"
"490","党在过渡时期总路线是一条社会主义建设和社会主义改造同时并举的路线，它体现了（   ）。","社会主义工业化和社会主义改造的紧密结合","解放生产力的前提是变革生产关系","变革生产关系与发展生产力的有机统一","解放生产力与发展生产力的有机统一","","ACD","无","多选题"
"491","关于把资本主义工商业者改造成为自食其力的社会主义劳动者，以下说法正确的是（   ）。","既避免了激烈的阶级对抗，减少了改造的阻力，又推动了生产力的发展和社会的进步","改造资本家个人与消灭他们所属的资产阶级相结合","通过改造阶级成分的方式达到从整体上消灭资产阶级的目的","对企业的改造和对人的改造相结合","","ABCD","无","多选题"
"492","确立社会主义基本制度的重大意义有（   ）。","为当代中国一切发展进步奠定了制度基础","增强了社会主义的力量，对维护世界和平产生了积极影响","使广大劳动人_x000D_
民真正成为国家的主人","使占世界人口1/4的东方大国进入了社会主义社会","","ABCD","无","多选题"
"493","第一届全国人民代表大会的召开和《中华人民共和国宪法》的制定及颁布施行的意义包括（   ）。","为逐步健全和完善我国社会主义政治制度奠定了坚实的基础","标志着社会主义改造基本完成","成为我国社会主义民主政治建设的里程碑","为各族人民参与国家政治生活提供了必要条件和保证","","ACD","无","多选题"
"494","关于我国社会主义改造中出现的国家资本主义经济，认识正确的有（   ）。","这种新式国家资本主义经济是带着很大的社会主义性质的，是对工人和国家有利的","不是普通的资本主义经济，而是一种特殊的资本主义经济，即新式的国家资本主义经济","不是为了资本家的利润而存在，而是为了供应人民和国家的需要而存在","是在人民政府管理之下的，用各种形式和国营社会主义经济联系着的，并受工人监督的资本主义经济","","ABCD","无","多选题"
"495","新民主主义社会是（   ）。","一种独立的社会形态","属于社会主义体系的过渡性质的社会","中国由新民主主义转变到社会主义的过渡性质的社会","既有社会主义因素又有非社会主义因素存在的社会","","BCD","无","多选题"
"496","与新民主主义时期三种主要经济成分相联系，新民主主义社会的阶级构成主要是（   ）等基本的阶级力量。","工人阶级","农民阶级和其他小资产阶级","民族资产阶级","买办资产阶级","","ABC","无","多选题"
"497","我国对资本主义工商业的社会主义改造，采取从低级到高级的国家资本主义的过渡形式。具体内容包括（   ）。","委托加工、计划订货","租赁承包","个别企业的公私合营和全行业的公私合营","统购包销、经销代销","","ACD","无","多选题"
"498","中国必须要走社会主义道路，新民主主义社会要过渡到社会主义社会。从1949年至1952年，社会主义革命的任务实际上也已经开始实行了，主要体现在（   ）。","在完成土地改革之后的农村，及时开展互助合作运动","采取对私营工商业加工订货、经销代销等方式，广泛发展初级形式的国家资本主义","没收官僚资本，建立社会主义性质的国营经济","实行全行业的公私合营","","ABC","无","多选题"
"499","我国对个体手工业的社会主义改造，采取了类似改造个体农业的逐步过渡的方法。以下逐步过渡的形式中，在性质上相一致的过渡形式是（   ）。","手工业生产合作社","手工业供销小组","初级农业生产合作社","手工业供销合作社","","CD","无","多选题"
"500","土地改革完成后，我国广大农民的生产积极性大大提高，这种积极性主要表现在（   ）。","互助合作的积极性","个体劳动积极性","集体经济积极性","个体经济的积极性","","AD","无","多选题"
"501","社会主义基本制度以其与社会化大生产的一致性和能够在经济落后条件下尽可能地集中力量办大事的优势，为发展社会生产力开辟了广阔的道路。具体表现是（   ）。","一大批旧中国没有的基础工业部门和大中型工业企业相继建立，工业技术水平和工程设计能力有了较大提高","我国成为世界第二大经济体，经济实力、人民生活水平、综合国力迈上一个大台阶","奠定了我国社会主义工业化的初步基础","着力解决了人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾","","AC","无","多选题"
"502","下列属于新民主主义政治纲领的内容有（　）。","建立一个无产阶级领导的、以工农联盟为基础的、各革命阶级联合专政的新民主主义的共和国","建立一个资产阶级专政的共和国","推翻帝国主义和封建主义的统治","推翻帝国主义和官僚资本主义的统治","","AC","无","多选题"
"503","我国对农业实行社会主义改造遵循的原则有（   ）。","公私兼顾","自愿互利","国家帮助","典型示范","","BCD","无","多选题"
"504","新民主主义时期，民族资产阶级与工人阶级的矛盾具有两重性，具体表现为（   ）。","有剥削者与被剥削者的阶级利益相互对立的对抗性的一面","有接受改造的一面","有相互合作、具有相同利益的非对抗性的一面","有剥削工人的一面","","AC","无","多选题"
"505","党在过渡时期的总路线提出的客观依据是（   ）。","民主革命的遗留任务已经完成","政治、经济及社会面貌发生了巨大变化","从1949年至1952年，经过三年的努力国民经济得到恢复","中国历史上长达数千年的阶级剥削制度结束","","ABC","无","多选题"
"506","社会主义基本制度的确立是中国历史上最深刻最伟大的社会变革，也是20世纪中国又一次划时代的历史巨变。社会主义基本制度的确立（   ）。","为当代中国一切发展进步奠定了根本政治前提和制度基础","为中国特色社会主义制度的创新和发展提供了重要前提","完成了马克思主义同中国实际的第二次结合","是马克思列宁主义关于社会主义革命理论在中国的正确运用和创造性发展的结果","","ABD","无","多选题"
"507","中国共产党人根据马克思列宁主义关于农业社会主义改造的基本原理，从我国农村实际出发，开辟了一条适合我国情况的农业社会主义改造道路。对农业进行社会主义改造的方针、政策和办法包括（   ）。","遵循自愿互利、典型示范和国家帮助的原则","积极引导农民组织起来，走互助合作道路","坚持积极领导、稳步前进的方针，采取循序渐进的步骤","正确分析农村的阶级和阶层状况，制定正确的阶级政策","","ABCD","无","多选题"
"508","关于1953年12月形成的关于过渡时期总路线的表述正确的有（   ）。","逐步实现国家对手工业和资本主义工商业的社会主义改造","主要内容被概括为""一化三改""","从中华人民共和国成立，到社会主义改造基本完成，这是一个过渡时期","要在一个相当长的时期内，逐步实现国家的社会主义工业化","","ABCD","无","多选题"
"509","我国实行过渡时期总路线的有利国际环境包括（   ）。","苏联社会主义的发展已经显示出相对于资本主义的优越性","朝鲜战争停战使世界的形势开始和缓","欧美国家与我国关系极大缓和","第三世界国家崛起","","AB","无","多选题"
"510","我们党制定并贯彻执行了（   ），使农业合作化有了坚实的阶级基础和群众基础。","依靠贫下中农","发展互助合作","由逐步限制到最后消灭富农剥削的农村阶级政策","直接让农民进入城市，变成产业工人","","ABC","无","多选题"
"511","""四马分肥""指的是企业的利润，按（   ）这四个方面进行分配。","国家所得税、企业公积金","工人福利费、资方红利","企业所得税、国家公积金","工人分红、资方补贴费用","","AB","无","多选题"
"512","新民主主义社会存在着五种经济成分，社会主义国营经济掌握了主要经济命脉，居于领导地位。而以农业和手工业为主体的个体经济，则在国民经济中占绝对优势。要使社会主义经济逐步成为我国的经济基础，这就要（   ）。","逐步将资本主义经济和个体经济改变为社会主义经济","坚持社会主义工业化建设与社会主义改造同时并举","正确分析农村的阶级和阶层状况，制定正确的阶级政策","不断扩大国营经济","","AD","无","多选题"
"513","我国的社会主义改造，有些方面在世界历史上各种革命大变动中是罕见的，主要表现在（   ）。","没有造成生产力的破坏，反而促进了工农业和整个国民经济的发展","没有引起巨大的社会动荡，反而加强了人民的团结","是在人民普遍拥护的情况下完成的","实现了社会主义经济成分集体所有制和全民所有制两种基本形式","","ABC","无","多选题"
"514","1956年底，我国对（   ）的社会主义改造基本完成。","手工业","工业","资本主义工商业","农业","","ACD","无","多选题"
"515","关于群众路线，以下说法正确的是（   ）。","本质上体现的是马克思主义关于人民群众是历史的创造者这一基本原理","坚持群众路线，就要坚持工人阶级是推动历史发展的根本力量","坚持群众路线，就要保持党同人民群众的血肉联系","坚持群众路线，就要坚持全心全意为人民服务的根本宗旨","","ACD","无","多选题"
"516","新民主主义革命时期，党面临的主要任务是（　）。","反对帝国主义、封建主义、官僚资本主义","争取民族独立、人民解放","为实现中华民族伟大复兴创造根本社会条件","为实现中华民族伟大复兴奠定根本政治前提和制度基础","","ABC","无","多选题"
"517","当代大学生要紧密结合全面建设社会主义现代化国家的实际，紧密联系自己的思想实际，把（    ）有机统一起来，自觉投身于中国特色社会主义伟大实践，为实现中华民族伟大复兴作出应有贡献。","理论与实践","理想与现实","主观与客观","知与行","","ABCD","无","多选题"
"518","马克思主义是我们认识世界、把握规律、追求真理、改造世界的强大思想武器，它是（    ）。","科学的理论","人民的理论","实践的理论","不断发展的开放的理论","","ABCD","无","多选题"
"519","毛泽东思想是在我国（   ）的实践过程中，在总结我国革命和建设正反两方面历史经验的基础上，逐步形成和发展起来的。","新民主主义革命","社会主义革命","社会主义建设","社会主义改革","","ABC","无","多选题"
"520","关于毛泽东思想形成发展的历史条件，说法正确的是（   ）。","19世纪末20世纪初，世界进入资产阶级革命时代","1917年俄国十月革命的胜利开辟了世界无产阶级社会主义革命的新时代","十月革命给中国送来了马克思列宁主义，中国革命从此有了科学的指导思想","中国在革命取得胜利后，又经历了第二次世界大战后两大阵营的对立和斗争，西方国家不仅对中国实行持续的封锁禁运，还极力推行和平演变战略","","BCD","无","多选题"
"521","第一次国内革命战争时期，毛泽东以马克思列宁主义为指导，深入实际调查研究，在（   ）等著作中，分析了中国社会各阶级在革命中的地位和作用，强调无产阶级领导农民斗争在推翻反动政权、建立人民革命政权中的重大作用。","《中国社会各阶级的分析》","《湖南农民运动考察报告》","《论人民民主专政》","《论十大关系》","","AB","无","多选题"
"522","毛泽东在（   ）等著作中，提出并深入阐述了农村包围城市、武装夺取政权的思想，标志着毛泽东思想的初步形成。","《中国的红色政权为什么能够存在？》","《井冈山的斗争》","《星星之火，可以燎原》","《反对本本主义》","","ABCD","无","多选题"
"523","毛泽东思想作为马克思主义中国化时代化第一次历史性飞跃的理论成果，它（   ）。","以独创性的理论丰富和发展了马克思列宁主义","是被实践证明了的关于中国革命和建设的正确的理论原则和经验总结","中国共产党集体智慧的结晶","是毛泽东个人思想与实践的总结","","ABC","无","多选题"
"524","毛泽东思想的历史地位主要表现在它是（   ）。","马克思主义中国化时代化的第一个重大理论成果","中国革命和建设的科学指南","中国共产党和中国人民宝贵的精神财富","中国特色社会主义理论体系的开篇之作","","ABC","无","多选题"
"525","毛泽东提出人民军队政治工作实行（   ）的原则。","军政一致","官兵一致","军民一致","瓦解敌军","","BCD","无","多选题"
"526","当代大学生要深刻认识马克思主义中国化时代化理论成果的时代意义、理论意义、世界意义，深刻认识中国化时代化马克思主义既一脉相承又与时俱进的理论品质，系统把握马克思主义中国化时代化理论成果所蕴含的马克思主义立场、观点和方法，坚定中国特色社会主义（    ）。","道路自信","理论自信","文化自信","制度自信","","ABCD","无","多选题"
"527","关于""三湾改编""，下列说法正确的是（   ）。","创造性地将支部建在连上","选举产生了新的红四军前敌委员会","组织上确立了党对军队的领导","是建设无产阶级领导的新型人民军队的重要开端","","ACD","无","多选题"
"528","中华优秀传统文化源远流长、博大精深，是中华文明的智慧结晶，其中蕴含的（    ）等，是中国人民在长期生产生活中积累的宇宙观、天下观、社会观、道德观的重要体现，同科学社会主义价值观主张具有高度契合性。","天下为公","任人唯贤","讲信修睦","民为邦本","","ABCD","无","多选题"
"529","毛泽东追求和倡导的（   ）等，依然是中国人民不断奋进的强大精神动力。","敢闯敢干的担当精神","实事求是的思想路线","全心全意为人民服务的根本宗旨","自力更生、艰苦奋斗的革命精神","","BCD","无","多选题"
"530","在社会主义制度建立以后，毛泽东领导全党和全国人民积极探索适合中国国情的社会主义建设道路，提出了一系列具有战略意义的正确思想和方针。其中包括（   ）。","人民内部要在政治上实行""团结-批评-团结""","在经济工作以及其他各项工作中实行""长期共存、互相监督""","在党与民主党派的关系上实行""统筹兼顾、适当安排""","在科学文化工作中实行""百花齐放、百家争鸣""","","AD","无","多选题"
"531","毛泽东将军队内部的民主生活概括为实行（   ）三大民主。","管理","经济","政治","军事","","BCD","无","多选题"
"532","解放战争和新中国成立以后，以毛泽东同志为主要代表的中国共产党人进一步提出了（   ），并对开辟适合中国国情的社会主义建设道路进行了艰辛探索。","根据地建设理论","正确处理人民内部矛盾的理论","社会主义改造理论","人民民主专政理论","","BCD","无","多选题"
"533","毛泽东在总结实践经验的基础上，提出了许多重要的政策和策略思想，包括（   ）等。","掌握斗争的各个方向，四面出击","在反动统治地区，把公开斗争和秘密斗争结合起来，在组织上采取隐蔽精干的方针","弱小的革命力量在变化着的主客观条件下能够最终战胜强大的反动力量","战略上要藐视敌人，战术上要重视敌人","","BCD","无","多选题"
"534","毛泽东指出，必须根据（   ）制定党的政策，把原则性和灵活性结合起来。","政治形势","阶级关系","实际情况及其变化","马克思主义经典著作","","ABC","无","多选题"
"535","独立自主，是（   ）。","坚持独立思考，走自己的路","中国共产党、中华人民共和国立党立国的重要原则","完全依靠自己的力量建设社会主义","我们党从中国实际出发、依靠党和人民力量进行革命、建设、改革的必然结论","","ABD","无","多选题"
"536","在社会主义建设中，毛泽东主张造成一个（   ），生动活泼，那样一种政治局面。","又有统一意志、又有个人心情舒畅","又有集中又有民主","又有法治又有德治","又有纪律又有自由","","ABD","无","多选题"
"537","毛泽东思想有多方面的丰富内容，除了关于新民主主义革命理论之外，还包括关于（   ）的理论。","思想政治工作和文化工作","政策和策略","党的建设","社会主义初级阶段","","ABC","无","多选题"
"538","毛泽东在（   ）著作中，运用马克思主义的认识论和辩证法，系统分析了党内""左""的和右的错误的思想根源。","《井冈山的斗争》","《实践论》","《矛盾论》","《星星之火，可以燎原》","","BC","无","多选题"
"539","解放战争时期和新中国成立以后，这一时期形成的关于社会主义革命和社会主义建设的重要思想，集中体现于毛泽东（   ）等著作中。","《论人民民主专政》","《在中国共产党第七届中央委员会第二次全体会议上的报告》","《关于正确处理人民内部矛盾的问题》","《论联合政府》","","ABC","无","多选题"
"540","毛泽东思想的活的灵魂三个基本方面是（   ）。","实事求是","群众路线","党的建设","独立自主","","ABD","无","多选题"
"541","中国共产党在推进马克思主义中国化时代化的历史进程中，产生了毛泽东思想和中国特色社会主义理论体系。这些理论成果之间既有不同点，又有共同点。共同点在于它们（    ）。","都是中国共产党集体智慧的结晶","都是对中国建设、改革经验的科学总结","都是马克思列宁主义在中国的运用和发展","都包含了中华民族的优秀思想","","ACD","无","多选题"
"542","党的十三届四中全会以后，以江泽民同志为主要代表的中国共产党人，团结带领全党全国各族人民，坚持党的基本理论、基本路线，加深了对（    ）的认识，形成了""三个代表""重要思想。","什么是社会主义、怎样建设社会主义","新形势下实现什么样的发展、怎样发展","建设什么样的党、怎样建设党","坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义","","AC","无","多选题"
"543","2018年，十三届全国人大一次会议通过的宪法修正案把（    ）共同确立为国家指导思想。","马克思列宁主义","毛泽东思想、邓小平理论","""三个代表""重要思想、科学发展观","习近平新时代中国特色社会主义思想","","ABCD","无","多选题"
"544","在毛泽东思想的指导下，中国共产党团结带领中国人民，浴血奋战、百折不挠，创造了新民主主义革命的伟大成就，建立了人民当家作主的中华人民共和国，实现了民族独立、人民解放，彻底（    ）。","结束了旧中国半殖民地半封建社会的历史","结束了极少数剥削者统治广大劳动人民的历史","结束了旧中国一盘散沙的局面","废除了列强强加给中国的不平等条约和帝国主义在中国的一切特权","","ABCD","无","多选题"
"545","坚持马克思主义，最重要的是坚持马克思主义基本原理和贯穿其中的（    ），坚定不移坚持马克思主义指导地位，任何时候任何情况下都不动摇。","规律","立场","观点","方法","","BCD","无","多选题"
"546","马克思列宁主义揭示了人类社会历史发展的规律，是（    ）的科学真理，它的基本原理是正确的，具有强大的生命力。","解释世界","认识世界","改造世界","辨别世界","","BC","无","多选题"
"547","中国共产党和中国人民以英勇顽强的奋斗向世界庄严宣告（    ），高度概括党的百年风雨路。","中国人民从此站起来了，中华民族任人宰割、饱受欺凌的时代一去不复返了","中国人民不但善于破坏一个旧世界、也善于建设一个新世界，只有社会主义才能救中国，只有社会主义才能发展中国","改革开放是决定当代中国前途命运的关键一招，中国特色社会主义道路是指引中国发展繁荣的正确道路，中国大踏步赶上了时代","中华民族迎来了从站起来、富起来到强起来的伟大飞跃","","ABCD","无","多选题"
"548","为了实现中华民族伟大复兴，中国共产党团结带领中国人民（    ）。","创造了新民主主义革命的伟大成就","创造了社会主义革命和建设的伟大成就","创造了改革开放和社会主义现代化建设的伟大成就","创造了新时代中国特色社会主义的伟大成就","","ABCD","无","多选题"
"549","恩格斯指出：""马克思的整个世界观不是教义，而是方法。它提供的不是现成的教条，而是进一步研究的出发点和供这种研究使用的方法。""这句话对我们正确对待马克思主义具有重要的指导意义，那就是（    ）。","马克思主义作为科学真理，具有普遍的指导意义","马克思主义的具体运用需要根据各国的具体情况","要真正运用马克思主义来指导中国实际，必须实现马克思主义的中国化时代化","我们已经完成了马克思主义中国化时代化的历史任务","","ABC","无","多选题"
"550","实现马克思主义中国化时代化的根本途径是（    ）。","必须同马克思主义经典著作相结合","必须同中国具体实际相结合","必须同世界社会主义国家建设经验相结合","必须同中华优秀传统文化相结合","","BD","无","多选题"
"551","中国特色社会主义理论体系紧密结合新的时代条件，着重思考和回答（    ）等重大时代课题。","新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义","建设什么样的社会主义现代化强_x000D_
国、怎样建设社会主义现代化强国","建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党","实现什么样的发展、怎样发展","","ABCD","无","多选题"
"552","培养理论思维，要原原本本学习和研读经典著作，（    ），带着思考学，带着问题学，做到学有所思、学有所悟、学有所得，不断提高自己的思想理论水平。","背原文","读原著","学原文","悟原理","","BCD","无","多选题"
"553","马克思主义是我们立党立国、兴党兴国的根本指导思想。党之所以能够领导人民在一次次求索、一次次挫折、一次次开拓中完成中国其他各种政治力量不可能完成的艰巨任务，根本在于坚持（    ）。","解放思想、实事求是、与时俱进、求真务实","把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合","实践是检验真理的唯一标准","一切从实际出发，及时回答时代之问、人民之问，不断推进马克思主义中国化时代化","","ABCD","无","多选题"
"554","实事求是，是（   ）。","毛泽东思想的基本点","中国共产党的思想路线","马克思主义的根本观点","中国共产党人认识世界、改造世界的根本要求","","ABCD","无","多选题"
